2000-01-01 00:20:30 946686030.000000 [message] [shd-tgen-main.c:82] [_tgenmain_run] Initializing traffic generator on host noiseclient process id 10603
2000-01-01 00:21:19 946686079.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=0 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:20 946686080.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=0 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:21 946686081.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=0 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:22 946686082.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=0 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:23 946686083.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=0 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:24 946686084.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=0 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:25 946686085.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=0 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:26 946686086.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=0 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:27 946686087.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=0 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:28 946686088.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=0 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:29 946686089.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=0 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:30 946686090.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=0 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:31 946686091.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=0 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:32 946686092.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=2 bytes-written=13 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:33 946686093.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=10 bytes-written=56 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:34 946686094.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=68673 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:35 946686095.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=178094 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:36 946686096.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=11952 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:37 946686097.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=237048 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:38 946686098.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=40338 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:39 946686099.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=208662 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:40 946686100.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=130974 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:41 946686101.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=118026 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:42 946686102.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=109062 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:43 946686103.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=164838 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:44 946686104.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=49800 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:45 946686105.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=199200 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:46 946686106.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=74700 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:47 946686107.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=89640 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:48 946686108.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=56274 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:49 946686109.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=111054 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:50 946686110.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=116532 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:51 946686111.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=90636 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:52 946686112.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=108564 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:53 946686113.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=49800 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:54 946686114.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=149400 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:55 946686115.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=99600 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:56 946686116.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=159360 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:57 946686117.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=89640 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:58 946686118.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=224100 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
2000-01-01 00:21:59 946686119.000000 [message] [shd-tgen-driver.c:107] [_tgendriver_onHeartbeat] [driver-heartbeat] bytes-read=24900 bytes-written=0 current-transfers-succeeded=0 current-transfers-failed=0 total-transfers-succeeded=1 total-transfers-failed=0
